                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2757,                0.55914,                 1.0273,                0.90574,                 0.8454,                0.85538,                0.44546,                 1.6031,                 0.6324,                 1.2606,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.2874,                0.56378,                  1.044,                0.87565,                0.87346,                0.86594,                0.44206,                 1.6257,                0.63285,                 1.2779,               0.000948,               0.000948,               0.000948
                     37,                 1.2612,                 0.5533,                  1.039,                0.93264,                0.86473,                0.87676,                0.45821,                 1.6284,                0.61922,                 1.2817,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.2619,                 0.5509,                 1.0298,                0.89248,                 0.8854,                 0.8637,                0.45051,                  1.608,                0.62911,                 1.2763,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.2693,                0.55036,                 1.0314,                0.89461,                0.87644,                0.86929,                0.45284,                 1.5944,                0.61126,                 1.2786,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.2315,                0.53949,                  1.026,                0.93438,                0.85761,                0.86449,                 0.4515,                 1.5948,                0.63004,                 1.2481,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.1971,                 0.5255,                 1.0029,                0.93034,                0.87337,                0.87641,                0.44979,                 1.6065,                 0.6322,                 1.2861,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.1911,                0.51913,                 1.0089,                0.88736,                0.85481,                0.85668,                0.44991,                 1.6363,                0.62318,                  1.309,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.1932,                0.52872,                 1.0091,                0.92569,                0.87154,                 0.8793,                0.46319,                 1.6448,                0.62332,                 1.3193,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.1803,                0.51722,                0.99856,                0.93045,                0.87263,                0.86458,                0.44841,                 1.6143,                0.62547,                 1.3041,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.1503,                0.50937,                0.98521,                0.93048,                0.88669,                0.89814,                0.46344,                 1.6151,                0.61707,                 1.2932,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.1224,                0.49564,                0.98122,                0.93379,                0.90084,                0.89573,                0.46117,                 1.6172,                0.61389,                 1.2844,             0.00080653,             0.00080653,             0.00080653
                     47,                  1.134,                0.50253,                0.98907,                0.87853,                0.88686,                0.85944,                0.44523,                  1.627,                0.61988,                 1.2954,             0.00079238,             0.00079238,             0.00079238
                     48,                  1.151,                0.50988,                0.99186,                 0.9379,                0.90286,                0.88477,                0.45391,                  1.615,                0.60953,                  1.283,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.1117,                0.49827,                0.98224,                0.89315,                0.85588,                0.88033,                0.45881,                 1.6198,                0.61667,                 1.2831,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.1288,                0.50584,                0.98598,                0.93995,                 0.8851,                0.87905,                0.45453,                 1.6173,                0.61345,                 1.3088,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.0962,                0.48981,                0.97698,                0.92254,                0.88493,                 0.8698,                0.45071,                 1.6421,                 0.6213,                 1.3297,             0.00073579,             0.00073579,             0.00073579
                     52,                   1.07,                0.48942,                0.96111,                0.90699,                0.88018,                0.88162,                  0.459,                 1.6195,                0.61666,                 1.3268,             0.00072164,             0.00072164,             0.00072164
                     53,                 1.0351,                0.47555,                0.96489,                0.93417,                0.89662,                0.88217,                0.45498,                 1.6182,                0.61276,                 1.3128,              0.0007075,              0.0007075,              0.0007075
                     54,                  1.047,                 0.4745,                0.96055,                 0.9159,                0.89088,                 0.8867,                0.46482,                 1.6274,                0.60377,                 1.3142,             0.00069335,             0.00069335,             0.00069335
                     55,                  1.041,                0.47245,                0.96043,                0.93561,                0.89988,                0.87834,                0.46833,                 1.6066,                0.60281,                 1.3052,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.0321,                0.47556,                 0.9569,                0.93833,                0.86157,                0.87716,                0.45355,                 1.6281,                0.61208,                 1.3249,             0.00066506,             0.00066506,             0.00066506
                     57,                 1.0249,                0.46888,                0.95549,                0.91301,                0.88275,                0.87484,                0.46159,                 1.6115,                 0.6239,                   1.32,             0.00065091,             0.00065091,             0.00065091
                     58,                  1.019,                0.46525,                0.94668,                0.93103,                0.87644,                0.88433,                0.45535,                 1.6512,                0.61868,                  1.334,             0.00063676,             0.00063676,             0.00063676
                     59,                 1.0109,                0.46498,                0.94812,                0.93948,                0.88641,                0.88403,                0.45717,                 1.6646,                0.62629,                  1.352,             0.00062262,             0.00062262,             0.00062262
                     60,                0.98745,                0.45698,                0.94222,                0.91706,                0.85831,                0.83615,                0.44803,                 1.6398,                0.62062,                 1.3502,             0.00060847,             0.00060847,             0.00060847
                     61,                0.95134,                0.44735,                0.92664,                0.91881,                0.86309,                0.84782,                0.44495,                  1.635,                0.61728,                 1.3349,             0.00059432,             0.00059432,             0.00059432
                     62,                0.96302,                0.44955,                0.92781,                0.93532,                0.88954,                0.88168,                0.45892,                 1.6178,                0.62086,                 1.3342,             0.00058017,             0.00058017,             0.00058017
                     63,                0.96106,                 0.4499,                0.93175,                0.94739,                0.87555,                 0.8766,                0.43922,                 1.6373,                0.61262,                 1.3516,             0.00056603,             0.00056603,             0.00056603
                     64,                 0.9468,                0.44962,                 0.9272,                0.93102,                0.86197,                0.87072,                0.44237,                 1.6326,                0.61109,                 1.3388,             0.00055188,             0.00055188,             0.00055188
                     65,                0.93454,                0.44253,                0.93389,                0.90635,                0.87412,                0.84524,                0.46194,                 1.6242,                0.61844,                 1.3378,             0.00053773,             0.00053773,             0.00053773
                     66,                0.93289,                0.44388,                0.92247,                0.94314,                0.88803,                0.87799,                0.45584,                 1.6097,                0.61078,                 1.3597,             0.00052359,             0.00052359,             0.00052359
                     67,                0.91145,                0.43729,                0.91935,                0.93649,                0.88807,                0.87469,                0.43604,                 1.6303,                0.62899,                 1.3494,             0.00050944,             0.00050944,             0.00050944
                     68,                0.91762,                0.43465,                0.92202,                0.94147,                0.88792,                0.87761,                0.45816,                 1.6132,                0.61218,                  1.347,             0.00049529,             0.00049529,             0.00049529
                     69,                0.89419,                0.43137,                0.92116,                0.94578,                0.88662,                0.87389,                0.44675,                 1.6304,                0.61437,                 1.3707,             0.00048114,             0.00048114,             0.00048114
                     70,                 0.8949,                 0.4295,                0.91303,                0.94017,                0.88118,                0.87646,                0.45881,                 1.6314,                0.61192,                 1.3725,               0.000467,               0.000467,               0.000467
                     71,                0.88041,                 0.4212,                0.90846,                0.93461,                0.88878,                0.87607,                0.45928,                 1.6283,                0.60828,                 1.3472,             0.00045285,             0.00045285,             0.00045285
                     72,                0.89922,                0.42833,                0.90876,                0.93989,                0.88864,                0.88713,                0.45811,                 1.6278,                0.59863,                 1.3669,              0.0004387,              0.0004387,              0.0004387
                     73,                0.85427,                0.41704,                0.90934,                0.91714,                0.87366,                0.84926,                 0.4525,                 1.6369,                0.61353,                 1.3661,             0.00042456,             0.00042456,             0.00042456
                     74,                0.86379,                0.41648,                 0.9037,                0.92221,                0.86224,                0.86137,                0.43254,                 1.6253,                0.61244,                 1.3773,             0.00041041,             0.00041041,             0.00041041
                     75,                0.85256,                0.41245,                0.90504,                0.92337,                0.86378,                0.87264,                0.44522,                 1.6323,                0.62022,                 1.3695,             0.00039626,             0.00039626,             0.00039626
                     76,                0.87652,                0.42251,                0.91068,                0.93942,                0.88567,                0.86855,                0.45741,                 1.6295,                0.61703,                 1.3828,             0.00038211,             0.00038211,             0.00038211
                     77,                0.83307,                0.41303,                0.89448,                0.94026,                 0.8807,                0.87276,                0.46578,                  1.605,                0.61642,                 1.3674,             0.00036797,             0.00036797,             0.00036797
                     78,                0.81429,                0.40129,                 0.8911,                0.93827,                0.86757,                0.87054,                0.45376,                 1.6292,                0.61662,                 1.3898,             0.00035382,             0.00035382,             0.00035382
                     79,                0.80471,                0.39793,                 0.8929,                0.92034,                0.87248,                0.86798,                0.45701,                 1.6222,                0.60832,                 1.3691,             0.00033967,             0.00033967,             0.00033967
                     80,                0.81911,                0.40182,                0.88964,                0.91477,                0.88515,                0.87005,                0.45913,                 1.6062,                0.61071,                 1.3758,             0.00032553,             0.00032553,             0.00032553
                     81,                0.78693,                0.39318,                0.88566,                0.90198,                0.89005,                 0.8719,                0.45799,                 1.6306,                0.62793,                 1.3952,             0.00031138,             0.00031138,             0.00031138
                     82,                0.79485,                0.39525,                0.88993,                   0.94,                0.87358,                0.87174,                0.46147,                 1.6351,                 0.6105,                 1.4055,             0.00029723,             0.00029723,             0.00029723
                     83,                0.78351,                0.39376,                0.88322,                0.92723,                 0.8893,                0.87788,                0.46483,                 1.6284,                0.60797,                  1.394,             0.00028308,             0.00028308,             0.00028308
                     84,                0.78149,                0.39444,                0.88953,                0.94362,                0.88636,                0.87357,                0.46365,                 1.6251,                0.61525,                 1.3926,             0.00026894,             0.00026894,             0.00026894
                     85,                0.77373,                0.39214,                0.88103,                0.93233,                 0.8552,                0.86917,                0.46337,                 1.6185,                0.61517,                  1.397,             0.00025479,             0.00025479,             0.00025479
                     86,                0.75929,                0.38818,                0.88236,                0.93525,                0.88602,                0.87332,                0.46113,                 1.6219,                0.61075,                 1.3919,             0.00024064,             0.00024064,             0.00024064
                     87,                0.77103,                0.38682,                0.87961,                0.92981,                0.87316,                0.87061,                0.45833,                 1.6183,                0.59967,                 1.3964,              0.0002265,              0.0002265,              0.0002265
                     88,                0.75418,                   0.38,                0.87911,                0.92763,                0.87095,                0.86637,                 0.4561,                 1.6053,                 0.6164,                 1.3935,             0.00021235,             0.00021235,             0.00021235
                     89,                0.73822,                 0.3752,                0.87441,                0.93543,                0.87628,                0.87566,                0.46683,                 1.6247,                0.61681,                 1.4075,              0.0001982,              0.0001982,              0.0001982
                     90,                0.75196,                 0.3807,                  0.879,                0.94002,                0.86671,                0.87707,                0.45259,                 1.6334,                0.61069,                 1.4163,             0.00018406,             0.00018406,             0.00018406
                     91,                0.70095,                0.35467,                0.87415,                0.93995,                0.88331,                 0.8771,                0.45609,                 1.6291,                0.62057,                  1.417,             0.00016991,             0.00016991,             0.00016991
                     92,                0.66915,                0.34837,                 0.8675,                0.93895,                0.87565,                0.87406,                0.45977,                 1.6256,                0.61012,                 1.4154,             0.00015576,             0.00015576,             0.00015576
                     93,                0.65508,                0.34314,                0.86164,                 0.9029,                0.88904,                0.87308,                0.46167,                 1.6292,                0.62588,                 1.4209,             0.00014161,             0.00014161,             0.00014161
                     94,                 0.6521,                0.34382,                0.86024,                0.91967,                0.88873,                0.87879,                0.46571,                 1.6203,                0.61287,                 1.4099,             0.00012747,             0.00012747,             0.00012747
                     95,                0.63676,                0.33644,                0.85577,                 0.9194,                0.88758,                0.87883,                0.46302,                 1.6271,                0.61753,                 1.4114,             0.00011332,             0.00011332,             0.00011332
                     96,                0.61275,                0.33115,                0.85232,                0.90265,                0.88046,                0.87618,                 0.4623,                 1.6188,                0.61728,                  1.405,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.61728,                0.33142,                0.85337,                0.90293,                0.87586,                0.87658,                0.46803,                 1.6223,                0.62047,                 1.4145,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.61426,                0.32999,                0.85005,                 0.9035,                0.88561,                0.87698,                0.46027,                 1.6283,                0.61977,                 1.4231,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                 0.6002,                0.32568,                0.84699,                0.93747,                0.85235,                 0.8777,                0.46819,                  1.626,                0.62424,                 1.4311,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.59149,                0.32348,                0.84729,                0.91718,                0.88332,                0.87751,                0.46458,                  1.621,                0.61893,                 1.4218,             4.2584e-05,             4.2584e-05,             4.2584e-05
